Time	Reads	ID
4	31	1
2	31	2
2	31	3
2	31	4
9	1	5
2	9	6
4	22	6
4	31	7
2	8	8
4	23	8
2	31	9
4	31	10
2	11	11
4	20	11
4	31	12
4	31	13
2	31	14
2	11	15
4	20	15
2	7	16
4	24	16
4	31	17
2	9	18
4	22	18
3	1	19
4	30	19
2	31	20
3	3	21
5	9	21
6	6	21
7	4	21
8	3	21
10	2	21
12	2	21
13	1	21
14	1	21
2	31	22
2	5	23
4	26	23
4	31	24
2	12	25
4	19	25
2	4	26
4	27	26
2	31	27
2	9	28
4	22	28
4	31	29
4	31	30
2	31	31
2	31	32
4	31	33
2	7	34
4	24	34
2	31	35
2	31	36
2	31	37
2	31	38
2	31	39
2	31	40
4	31	41
9	1	42
4	31	43
2	31	44
2	6	45
3	1	45
4	24	45
2	31	46
9	1	47
2	31	48
2	5	49
4	26	49
2	9	50
4	22	50
2	30	51
6	1	51
2	31	52
2	31	53
2	31	54
3	1	55
4	30	55
2	25	56
2	6	57
4	31	58
2	31	59
2	1	60
3	29	60
5	1	60
9	1	61
2	31	62
2	31	63
4	31	64
4	31	65
2	31	66
3	1	67
4	29	67
6	1	67
2	31	68
2	31	69
2	10	70
4	21	70
4	31	71
2	31	72
5	17	73
6	14	73
2	31	74
2	31	75
9	1	76
2	31	77
3	1	78
4	30	78
3	1	79
4	30	79
2	8	80
4	23	80
2	31	81
2	31	82
4	31	83
2	9	84
4	22	84
2	11	85
4	20	85
2	31	86
4	31	87
2	3	88
3	1	88
4	15	88
2	12	89
2	6	90
4	25	90
2	7	91
4	24	91
3	2	92
5	3	92
6	3	92
7	5	92
8	5	92
9	1	92
11	1	92
13	1	92
2	10	93
2	31	94
2	10	95
3	1	95
4	20	95
2	31	96
2	31	97
2	2	98
4	29	98
2	31	99
2	31	100
2	11	101
3	20	101
2	31	102
2	31	103
2	5	104
3	3	104
4	5	104
5	4	104
6	1	104
7	1	104
8	5	104
9	1	104
10	3	104
11	1	104
12	2	104
4	31	105
4	31	106
4	31	107
2	31	108
2	31	109
9	1	110
5	1	111
9	1	111
2	2	112
3	1	112
4	3	112
5	4	112
6	1	112
7	6	112
8	4	112
9	1	112
10	6	112
11	2	112
15	1	112
2	31	113
4	31	114
2	3	115
4	20	115
2	8	116
4	31	117
4	31	118
2	31	119
5	2	120
6	3	120
7	7	120
8	4	120
10	3	120
11	1	120
12	1	120
14	1	120
5	1	121
6	2	121
7	3	121
9	1	121
11	2	121
2	31	122
2	31	123
2	11	124
4	20	124
2	10	125
4	21	125
2	31	126
2	31	127
4	31	128
2	31	129
2	31	130
4	31	131
3	1	132
5	2	132
6	6	132
7	7	132
8	2	132
9	1	132
10	3	132
11	1	132
6	1	133
7	2	133
8	2	133
10	1	133
11	1	133
15	1	133
2	11	134
4	20	134
2	6	135
3	25	135
2	27	136
2	4	137
2	4	138
4	27	138
2	6	139
4	25	139
2	21	140
2	8	141
5	1	141
8	1	141
4	31	142
4	31	143
2	31	144
2	22	145
2	9	146
2	9	147
4	22	147
3	31	148
2	12	149
4	18	149
5	1	149
2	31	150
3	2	151
4	29	151
2	5	152
4	26	152
2	7	153
4	24	153
4	31	154
2	12	155
4	14	155
2	5	156
2	31	157
4	31	158
2	31	159
4	31	160
2	13	161
3	1	161
4	17	161
2	31	162
2	14	163
3	1	163
4	16	163
2	31	164
2	31	165
2	1	166
4	30	166
4	31	167
2	31	168
2	12	169
4	15	169
2	4	170
3	1	171
4	30	171
9	1	172
2	15	173
3	16	173
9	1	174
2	3	175
4	21	175
2	7	176
3	2	177
4	29	177
2	2	178
4	29	178
2	13	179
4	18	179
2	31	180
2	1	181
3	30	181
2	7	182
3	1	182
4	23	182
2	31	183
2	16	184
4	15	184
3	2	185
4	29	185
2	31	186
2	31	187
4	31	188
2	5	189
4	26	189
2	31	190
2	31	191
2	24	192
4	7	192
9	1	193
2	5	194
3	1	194
4	25	194
2	31	195
2	8	196
4	22	196
5	1	196
2	11	197
3	1	197
4	19	197
2	31	198
2	31	199
2	3	200
4	28	200
2	31	201
2	31	202
2	3	203
4	28	203
3	2	204
4	29	204
4	31	205
2	16	206
4	15	206
8	1	207
9	2	207
12	1	207
4	31	208
2	31	209
2	3	210
3	18	210
4	10	210
4	31	211
2	31	212
2	31	213
2	12	214
4	19	214
4	31	215
2	29	216
3	2	216
2	31	217
2	31	218
2	2	219
3	1	219
5	5	219
7	4	219
8	3	219
9	1	219
10	3	219
11	1	219
12	2	219
14	2	219
16	1	219
17	1	219
2	1	220
6	1	220
7	1	220
10	1	220
11	1	220
4	31	221
2	31	222
2	1	223
4	30	223
2	30	224
4	1	224
2	31	225
2	4	226
4	27	226
2	9	227
4	22	227
3	31	228
9	1	229
14	1	229
2	28	230
4	3	230
3	31	231
3	1	232
4	1	232
5	1	232
6	5	232
7	2	232
8	2	232
9	4	232
10	3	232
11	3	232
12	2	232
13	2	232
15	1	232
9	1	233
6	2	234
7	1	234
8	1	234
2	9	235
4	22	235
4	31	236
4	31	237
2	31	238
2	20	239
4	11	239
2	3	240
4	23	240
5	3	240
8	1	240
10	1	240
3	31	241
3	1	242
4	30	242
2	11	243
4	20	243
2	31	244
2	31	245
2	7	246
4	24	246
9	1	247
2	31	248
2	18	249
4	13	249
2	10	250
4	21	250
2	31	251
2	31	252
4	31	253
3	31	254
4	31	255
2	31	256
2	31	257
4	31	258
2	9	259
4	22	259
3	1	260
4	30	260
2	3	261
4	28	261
2	6	262
4	25	262
3	1	263
4	30	263
2	12	264
4	19	264
2	31	265
2	4	266
4	27	266
3	1	267
4	30	267
2	11	268
4	20	268
4	31	269
4	31	270
4	31	271
3	2	272
4	29	272
3	1	273
4	30	273
2	6	274
4	25	274
2	31	275
2	8	276
4	23	276
4	26	277
2	5	278
2	7	279
4	24	279
2	21	280
4	10	280
4	31	281
2	1	282
4	30	282
2	31	283
3	1	284
4	30	284
2	31	285
2	12	286
4	12	286
2	2	287
4	5	287
2	8	288
4	23	288
2	31	289
2	31	290
2	10	291
4	21	291
4	31	292
9	1	293
5	7	294
6	9	294
7	15	294
4	31	295
3	1	296
4	30	296
2	25	297
9	1	298
2	6	299
2	7	300
4	24	300
4	31	301
4	31	302
2	31	303
2	18	304
4	13	304
3	1	305
4	30	305
4	31	306
9	1	307
2	3	308
4	28	308
2	10	309
4	20	309
6	1	309
2	9	310
3	2	310
4	20	310
2	31	311
2	22	312
2	9	313
3	1	314
4	30	314
4	31	315
2	31	316
2	31	317
4	1	318
9	1	318
2	31	319
9	1	320
2	5	321
4	26	321
2	31	322
2	16	323
4	15	323
2	30	324
4	1	324
2	31	325
2	14	326
4	17	326
4	31	327
4	31	328
4	26	329
3	1	330
7	2	330
8	1	330
9	1	330
2	3	331
4	28	331
2	12	332
4	19	332
3	2	333
4	29	333
4	21	334
2	10	335
5	1	336
8	4	336
9	2	336
10	2	336
12	1	336
13	1	336
14	1	336
15	1	336
17	3	336
18	2	336
8	3	337
9	2	337
10	1	337
11	2	337
12	1	337
14	1	337
15	2	337
16	1	337
2	31	338
3	31	339
2	21	340
2	8	341
4	2	341
2	18	342
3	1	342
4	12	342
4	31	343
2	31	344
2	6	345
4	25	345
2	6	346
3	7	346
4	18	346
2	10	347
4	21	347
2	31	348
4	31	349
2	6	350
4	25	350
2	31	351
2	11	352
4	20	352
2	4	353
4	27	353
4	31	354
2	31	355
2	31	356
2	4	357
4	27	357
2	11	358
3	1	358
4	19	358
4	31	359
2	21	360
9	1	361
2	10	362
4	31	363
2	31	364
2	15	365
3	1	365
4	15	365
2	11	366
4	20	366
2	31	367
2	31	368
4	31	369
2	11	370
4	20	370
2	31	371
3	1	372
4	30	372
2	31	373
4	31	374
3	1	375
4	30	375
4	31	376
2	31	377
2	31	378
4	31	379
3	31	380
9	1	381
2	31	382
4	31	383
2	6	384
3	25	384
3	1	385
4	30	385
2	31	386
3	2	387
4	1	387
5	3	387
6	10	387
7	4	387
8	3	387
9	1	387
10	1	387
11	3	387
14	1	387
16	1	387
17	1	387
2	1	388
4	30	388
4	31	389
4	31	390
2	7	391
4	24	391
4	31	392
4	31	393
2	31	394
2	31	395
2	31	396
4	31	397
2	28	398
7	1	398
8	2	398
9	1	399
10	1	399
2	19	400
2	12	401
2	8	402
4	23	402
2	31	403
2	6	404
7	24	404
8	1	404
2	31	405
2	14	406
2	9	407
2	8	408
2	31	409
4	31	410
2	31	411
2	1	412
3	1	412
4	28	412
6	1	412
2	24	413
2	7	414
2	31	415
2	6	416
3	1	416
4	24	416
2	21	417
9	1	418
2	10	419
2	30	420
4	1	420
2	31	421
9	2	422
3	1	423
4	29	423
7	1	423
2	25	424
2	5	425
4	1	425
2	31	426
2	7	427
4	24	427
2	31	428
2	7	429
4	24	429
4	31	430
4	31	431
2	6	432
4	14	432
2	11	433
4	31	434
2	31	435
4	31	436
4	31	437
4	31	438
2	9	439
4	22	439
3	31	440
4	31	441
2	31	442
2	31	443
4	31	444
3	26	445
4	5	445
3	1	446
4	30	446
4	31	447
2	31	448
2	5	449
3	26	449
2	31	450
2	31	451
2	13	452
4	18	452
2	9	453
4	22	453
2	15	454
4	16	454
2	18	455
4	7	455
2	1	456
3	1	457
5	1	457
6	1	457
7	1	457
8	1	457
2	31	458
2	4	459
4	27	459
7	4	460
8	3	460
10	2	460
12	1	460
2	1	461
3	1	461
6	1	461
7	4	461
8	2	461
6	1	462
7	4	462
9	2	462
7	3	463
9	2	463
4	31	464
2	5	465
3	9	465
4	17	465
4	30	466
8	1	466
2	31	467
2	13	468
4	18	468
2	12	469
4	19	469
2	31	470
4	31	471
3	1	472
4	30	472
2	31	473
4	31	474
2	1	475
4	30	475
2	31	476
2	1	477
4	30	477
2	31	478
4	31	479
2	26	480
4	4	481
4	1	482
2	16	483
2	8	484
2	7	485
4	31	486
2	23	487
2	8	488
4	31	489
2	31	490
2	4	491
4	27	491
4	31	492
2	19	493
2	12	494
4	31	495
2	31	496
2	31	497
4	31	498
4	31	499
2	31	500
2	26	501
2	5	502
4	31	503
4	31	504
2	17	505
2	14	506
4	31	507
2	13	508
3	4	508
4	14	508
2	2	509
4	29	509
2	1	510
3	1	510
4	21	510
10	1	510
2	7	511
2	13	512
3	15	512
4	3	512
2	2	513
3	28	513
6	1	513
3	2	514
4	29	514
4	31	515
3	1	516
4	30	516
2	18	517
4	13	517
4	31	518
2	31	519
2	31	520
2	16	521
4	15	521
2	31	522
2	31	523
4	31	524
2	8	525
4	13	525
2	10	526
4	31	527
4	31	528
2	9	529
4	22	529
2	31	530
2	31	531
2	14	532
4	17	532
2	18	533
4	13	533
4	31	534
2	31	535
4	31	536
2	6	537
4	25	537
4	31	538
2	9	539
4	22	539
4	31	540
2	11	541
4	20	541
4	31	542
4	31	543
4	31	544
2	31	545
2	31	546
2	8	547
4	23	547
4	31	548
2	31	549
4	31	550
2	9	551
4	22	551
2	6	552
4	25	552
2	7	553
4	24	553
4	31	554
4	31	555
4	31	556
2	9	557
4	11	557
4	11	558
2	6	559
4	19	559
2	6	560
2	31	561
2	31	562
4	31	563
2	31	564
4	31	565
4	31	566
2	25	567
4	6	567
2	25	568
9	1	569
2	6	570
2	21	571
4	10	571
2	8	572
4	23	572
2	22	573
2	9	574
2	10	575
3	1	575
4	20	575
2	11	576
3	20	576
4	31	577
2	20	578
2	11	579
4	31	580
4	31	581
3	1	582
4	30	582
2	9	583
4	22	583
2	2	584
4	29	584
2	15	585
4	16	585
2	7	586
4	24	586
4	31	587
4	30	588
6	1	588
2	9	589
4	22	589
2	31	590
2	5	591
4	26	591
2	12	592
3	1	592
4	18	592
4	31	593
4	31	594
9	1	595
2	10	596
3	1	596
4	20	596
2	1	597
5	1	597
6	2	597
8	4	597
10	4	597
13	1	597
14	2	597
15	2	597
16	3	597
17	2	597
18	9	597
4	31	598
4	31	599
4	31	600
2	11	601
4	20	601
9	1	602
15	1	602
2	31	603
2	31	604
2	31	605
2	31	606
9	1	607
2	15	608
4	16	608
2	6	609
3	2	609
4	23	609
2	23	610
2	8	611
2	10	612
4	21	612
4	31	613
2	31	614
4	31	615
2	17	616
2	14	617
2	31	618
2	15	619
4	16	619
2	11	620
4	20	620
4	31	621
2	31	622
2	21	623
5	1	624
3	1	625
5	1	625
6	3	625
7	1	625
8	2	625
10	1	625
3	3	626
5	8	626
6	5	626
7	3	626
8	4	626
9	3	626
10	3	626
12	1	626
14	1	626
4	31	627
2	6	628
3	2	628
4	23	628
2	10	629
4	21	629
3	1	630
4	30	630
2	3	631
4	28	631
2	13	632
4	18	632
2	16	633
3	1	633
4	14	633
4	31	634
2	31	635
2	31	636
2	31	637
2	31	638
2	11	639
3	1	639
4	19	639
2	31	640
3	2	641
4	29	641
3	31	642
4	31	643
2	31	644
9	1	645
2	31	646
4	31	647
2	21	648
4	10	648
3	31	649
2	5	650
4	26	650
2	31	651
2	31	652
4	31	653
3	31	654
2	31	655
2	31	656
2	31	657
4	31	658
4	31	659
2	9	660
4	22	660
2	31	661
2	10	662
4	11	662
2	10	663
2	30	664
4	1	664
3	2	665
4	29	665
3	31	666
2	31	667
4	31	668
2	31	669
2	3	670
4	28	670
3	31	671
4	31	672
2	30	673
4	1	673
2	31	674
2	18	675
4	13	675
2	31	676
2	31	677
9	1	678
4	31	679
2	5	680
4	14	680
2	12	681
2	31	682
2	31	683
3	1	684
4	30	684
4	25	685
2	6	686
4	31	687
3	1	688
4	30	688
2	31	689
2	2	690
4	29	690
2	14	691
4	17	691
3	1	692
4	30	692
5	5	693
6	5	693
7	4	693
8	2	693
10	1	693
11	1	693
12	1	693
13	1	693
3	1	694
5	1	694
6	2	694
7	1	694
8	2	694
9	1	694
11	2	694
12	1	694
2	8	695
3	23	695
4	31	696
4	31	697
2	7	698
3	18	698
4	6	698
2	4	699
4	27	699
2	19	700
2	12	701
9	1	702
4	31	703
2	10	704
4	21	704
2	31	705
2	31	706
2	31	707
4	31	708
2	9	709
4	22	709
4	31	710
2	30	711
4	1	711
2	7	712
4	24	712
2	7	713
3	10	713
4	14	713
2	3	714
4	15	714
2	13	715
2	31	716
2	14	717
4	17	717
2	16	718
4	15	718
2	12	719
4	19	719
9	1	720
4	31	721
2	31	722
2	30	723
4	1	723
9	1	724
11	1	724
2	31	725
2	13	726
4	18	726
4	31	727
2	4	728
3	1	728
4	26	728
2	31	729
4	31	730
2	4	731
4	27	731
2	31	732
2	7	733
4	24	733
2	31	734
4	31	735
3	31	736
2	24	737
2	7	738
2	16	739
4	15	739
4	31	740
4	17	741
2	12	742
3	1	742
4	1	742
2	31	743
4	31	744
2	1	745
4	30	745
9	1	746
4	31	747
2	1	748
4	30	748
4	31	749
2	6	750
4	25	750
2	31	751
9	1	752
2	31	753
2	8	754
4	23	754
3	26	755
2	5	756
2	31	757
2	31	758
4	31	759
4	31	760
2	4	761
4	19	761
2	8	762
2	31	763
2	10	764
4	21	764
2	31	765
2	4	766
4	18	766
2	9	767
5	11	768
6	20	768
2	11	769
4	20	769
3	31	770
2	31	771
2	4	772
3	1	772
4	26	772
2	5	773
4	26	773
2	10	774
4	21	774
2	31	775
2	31	776
2	31	777
4	31	778
3	31	779
3	31	780
2	8	781
4	23	781
2	4	782
4	27	782
2	8	783
4	11	783
2	12	784
2	31	785
4	31	786
4	31	787
2	31	788
2	7	789
4	24	789
3	1	790
4	30	790
2	31	791
4	31	792
4	31	793
4	31	794
4	31	795
2	31	796
2	5	797
4	26	797
2	8	798
4	23	798
3	31	799
4	31	800
4	31	801
4	31	802
2	6	803
4	25	803
2	32	804
2	7	805
4	25	805
2	16	806
4	16	806
4	32	807
2	32	808
2	32	809
2	22	810
4	10	810
2	32	811
4	32	812
4	32	813
2	32	814
2	2	815
3	30	815
2	10	816
3	1	816
4	21	816
3	1	817
5	4	817
6	4	817
7	5	817
8	4	817
9	2	817
10	2	817
12	3	817
16	1	817
7	1	818
8	2	818
10	1	818
11	1	818
12	1	818
2	12	819
4	14	819
2	6	820
2	32	821
4	32	822
2	32	823
2	32	824
2	10	825
3	3	825
4	19	825
2	32	826
2	31	827
4	1	827
2	15	828
4	17	828
3	1	829
4	31	829
2	32	830
4	32	831
2	1	832
3	31	832
4	32	833
4	31	834
7	1	834
2	32	835
2	32	836
2	2	837
4	1	837
5	5	837
6	2	837
7	3	837
8	2	837
9	1	837
10	1	837
11	1	837
3	3	838
4	2	838
6	2	838
7	2	838
8	1	838
9	1	838
10	1	838
11	1	838
12	1	838
4	32	839
7	1	840
9	1	840
2	32	841
2	32	842
4	31	843
5	1	843
2	32	844
2	24	845
2	8	846
4	32	847
2	32	848
2	15	849
3	2	849
4	15	849
4	32	850
2	32	851
4	32	852
2	32	853
2	32	854
2	32	855
2	1	856
3	31	856
4	32	857
2	26	858
2	6	859
2	32	860
2	32	861
2	32	862
2	13	863
4	19	863
2	12	864
4	20	864
2	32	865
2	32	866
2	18	867
4	14	867
2	6	868
3	2	868
4	24	868
2	21	869
3	1	869
4	10	869
2	4	870
4	28	870
2	32	871
2	8	872
4	24	872
2	8	873
3	1	873
4	23	873
2	17	874
4	15	874
2	2	875
3	3	875
4	2	875
5	6	875
6	3	875
7	5	875
8	5	875
9	1	875
10	3	875
12	1	875
16	1	875
2	9	876
3	1	876
4	22	876
2	32	877
2	32	878
2	32	879
4	26	880
2	6	881
7	1	882
8	1	882
9	1	882
2	32	883
2	13	884
4	19	884
2	32	885
9	1	886
10	1	886
9	1	887
2	32	888
4	32	889
4	23	890
2	9	891
2	32	892
2	32	893
2	32	894
2	32	895
2	32	896
2	32	897
2	32	898
2	19	899
4	13	899
4	31	900
5	1	900
2	32	901
2	32	902
3	1	903
4	31	903
2	7	904
4	25	904
2	32	905
2	32	906
6	1	907
7	1	907
9	1	907
2	32	908
2	32	909
2	32	910
4	32	911
2	31	912
8	1	912
9	1	913
2	32	914
4	32	915
2	2	916
3	1	916
4	29	916
4	32	917
4	32	918
2	32	919
2	14	920
3	18	920
9	1	921
2	1	922
4	24	922
2	7	923
2	32	924
2	3	925
4	29	925
2	32	926
2	29	927
9	2	927
12	1	927
2	13	928
4	19	928
2	32	929
2	32	930
2	32	931
2	6	932
3	1	932
4	25	932
2	32	933
4	32	934
2	8	935
4	24	935
2	14	936
4	18	936
4	32	937
2	6	938
4	26	938
2	3	939
4	29	939
2	9	940
3	1	940
4	22	940
4	32	941
2	6	942
4	26	942
4	32	943
4	32	944
2	10	945
4	22	945
2	32	946
4	32	947
2	8	948
4	24	948
2	14	949
4	18	949
9	1	950
3	1	951
4	30	951
6	1	951
4	32	952
2	5	953
4	27	953
4	32	954
4	32	955
4	32	956
2	12	957
4	20	957
2	32	958
2	32	959
2	31	960
3	1	960
4	32	961
3	1	962
4	31	962
4	32	963
2	10	964
4	22	964
2	32	965
2	32	966
2	1	967
3	1	967
4	30	967
2	11	968
3	1	968
4	20	968
2	32	969
2	6	970
4	26	970
2	5	971
3	11	971
4	16	971
3	1	972
4	30	972
8	1	972
4	32	973
4	32	974
2	32	975
4	32	976
3	23	977
2	9	978
3	1	979
4	31	979
3	32	980
4	32	981
3	32	982
2	14	983
3	3	983
4	15	983
2	5	984
4	27	984
2	6	985
4	26	985
2	12	986
4	20	986
4	32	987
2	32	988
2	32	989
2	32	990
2	6	991
4	26	991
2	32	992
3	32	993
2	32	994
2	1	995
9	2	995
9	1	996
2	32	997
3	1	998
4	31	998
4	32	999
2	32	1000
2	16	1001
2	16	1002
2	8	1003
4	24	1003
2	32	1004
2	32	1005
9	1	1006
9	1	1007
